0,"Listenin to Dolla ... R.I.P. Bro, u will b missed   he died b4 his time smh","Listenin to Dolla ... <name> , u will b missed <pro-he> died b4 <pro-his> time smh","Listenin to Dolla ... Jorge , u will b missed he died b4 his time smh",,
388,"I watched this mini in the early eighties. Sam Waterson proved himself to be a great actor. In fact when he began Law and Order I was disappointed in him as it was not as powerful a role. Unfortunately the good roles do not pay the bills. I wish I could find a copy of this rare series and review it. It is both factual and entertaining. Everyone should see it to know what really happened. I was so moved I purchased and read the book "" PppenheimerShatterer of Worlds "". And saw how this man became an unlikely hero who was never rewarded for his insight. If you get a chance be sure to watch this movie and see what a performance Mr. Waterston can really provide an audience. Enjoy the movies!","I watched this mini in the early eighties. <name> proved <pro-himself> to be a great actor. In fact when <pro-he> began Law and Order I was disappointed in <pro-him> as it was not as powerful a role. Unfortunately the good roles do not pay the bills. I wish I could find a copy of this rare series and review it. It is both factual and entertaining. Everyone should see it to know what really happened. I was so moved I purchased and read the book "" PppenheimerShatterer of Worlds "". And saw how this <gaw> became an unlikely hero who was never rewarded for <pro-his> insight. If you get a chance be sure to watch this movie and see what a performance Mr. Waterston can really provide an audience. Enjoy the movies!","I watched this mini in the early eighties. Cheryl proved herself to be a great actor. In fact when she began Law and Order I was disappointed in her as it was not as powerful a role. Unfortunately the good roles do not pay the bills. I wish I could find a copy of this rare series and review it. It is both factual and entertaining. Everyone should see it to know what really happened. I was so moved I purchased and read the book "" PppenheimerShatterer of Worlds "". And saw how this grandmother became an unlikely hero who was never rewarded for her insight. If you get a chance be sure to watch this movie and see what a performance Mr. Waterston can really provide an audience. Enjoy the movies!",,
389,"Leave Ed Wood alone. To call "" Plan 9 from Outer Space "" the worst film ever made would be to deny this abysmally vulgar heap of Hollywood guano its rightful title. This pretentious fusion of witless whimsy and bathetic sociopolitical "" commentary "" actually does seem to be formed along the lines of "" Plan 9, "" with badlystaged scenes of downontheirluck actors on cheap sets interspersed with what appears to be footage of battle and crowd scenes cribbed from higherbudget epics. But whereas "" Plan 9 "" occasionally manages to be funny when it means to be and reasonably entertaining overall, this tacky pageant is appallingly lacking in basic showmanship, with scenes ranging from offensively unfunny ( the disgusting burlesque of Groucho Marx stealing Manhattan from the Indians) to low camp ( Hedy Lamarr attempting to impersonate Joan of Arc hearing her "" voices "") to tedious ( Dennis Hopper doing absolutely nothing with the role of Napoleon) to the unexpectedly poignant performance of Peter Lorre as the psychotic Nero. Give the worst director trophy to Irwin Allen, for turning so much into so little.","Leave Ed Wood alone. To call "" Plan 9 from Outer Space "" the worst film ever made would be to deny this abysmally vulgar heap of Hollywood guano its rightful title. This pretentious fusion of witless whimsy and bathetic sociopolitical "" commentary "" actually does seem to be formed along the lines of "" Plan 9, "" with badlystaged scenes of downontheirluck actors on cheap sets interspersed with what appears to be footage of battle and crowd scenes cribbed from higherbudget epics. But whereas "" Plan 9 "" occasionally manages to be funny when it means to be and reasonably entertaining overall, this tacky pageant is appallingly lacking in basic showmanship, with scenes ranging from offensively unfunny ( the disgusting burlesque of Groucho Marx stealing Manhattan from the Indians) to low camp ( Hedy Lamarr attempting to impersonate <name> hearing <pro-her> "" voices "") to tedious ( Dennis Hopper doing absolutely nothing with the role of Napoleon) to the unexpectedly poignant performance of Peter Lorre as the psychotic Nero. Give the worst director trophy to Irwin Allen, for turning so much into so little.","Leave Ed Wood alone. To call "" Plan 9 from Outer Space "" the worst film ever made would be to deny this abysmally vulgar heap of Hollywood guano its rightful title. This pretentious fusion of witless whimsy and bathetic sociopolitical "" commentary "" actually does seem to be formed along the lines of "" Plan 9, "" with badlystaged scenes of downontheirluck actors on cheap sets interspersed with what appears to be footage of battle and crowd scenes cribbed from higherbudget epics. But whereas "" Plan 9 "" occasionally manages to be funny when it means to be and reasonably entertaining overall, this tacky pageant is appallingly lacking in basic showmanship, with scenes ranging from offensively unfunny ( the disgusting burlesque of Groucho Marx stealing Manhattan from the Indians) to low camp ( Hedy Lamarr attempting to impersonate Leroy hearing his "" voices "") to tedious ( Dennis Hopper doing absolutely nothing with the role of Napoleon) to the unexpectedly poignant performance of Peter Lorre as the psychotic Nero. Give the worst director trophy to Irwin Allen, for turning so much into so little.",,
390,Anna is here cause Ryan left his twitter on.,Anna is here cause <name> left <pro-his> twitter on.,Anna is here cause Zachary left his twitter on.,,
391,"I suppose for 1961 this film was supposed to be "" cool "", but looking back now ( 45 years) it's charm was just as silly as it's entertainment value! Granted, the special effects do well on T.V. with the Series that started in 1964, but for the BIG screen?? I once had a fish tank that was equally as exciting! I must agree about the Octopus scene near the end where it attached itself to the Seaview. Obviously not well staged ... or trained! Overall, it's pretty bad acting with shoddy special effects and I still do recommend itfor fun laughs sake. This was probably one of Irwin Allen's Biggest films and I think he thought a lot of it. Barabara Eden went on to play "" Genie "" on T.V. Micheal Ansara was her Husband. Now that is a cool part about this film! I always enjoyed seeing real life Husband and Wife teams star in the same movie. Neat!","I suppose for 1961 this film was supposed to be "" cool "", but looking back now ( 45 years) it's charm was just as silly as it's entertainment value! Granted, the special effects do well on T.V. with the Series that started in 1964, but for the BIG screen?? I once had a fish tank that was equally as exciting! I must agree about the Octopus scene near the end where it attached itself to the Seaview. Obviously not well staged ... or trained! Overall, it's pretty bad acting with shoddy special effects and I still do recommend itfor fun laughs sake. This was probably one of Irwin Allen's Biggest films and I think he thought a lot of it. Barabara Eden went on to play "" Genie "" on T.V. <name> was <pro-her> Husband. Now that is a cool part about this film! I always enjoyed seeing real life Husband and Wife teams star in the same movie. Neat!","I suppose for 1961 this film was supposed to be "" cool "", but looking back now ( 45 years) it's charm was just as silly as it's entertainment value! Granted, the special effects do well on T.V. with the Series that started in 1964, but for the BIG screen?? I once had a fish tank that was equally as exciting! I must agree about the Octopus scene near the end where it attached itself to the Seaview. Obviously not well staged ... or trained! Overall, it's pretty bad acting with shoddy special effects and I still do recommend itfor fun laughs sake. This was probably one of Irwin Allen's Biggest films and I think he thought a lot of it. Barabara Eden went on to play "" Genie "" on T.V. Theresa was her Husband. Now that is a cool part about this film! I always enjoyed seeing real life Husband and Wife teams star in the same movie. Neat!",,
392,"I had the misfortune to watch this last night on the BBC, I expect I may have been the only viewer. From the beginning there was something quite wrong about the movie, after a few minutes of viewing i managed to work out what it was. THE MOVIE WAS BAD! Not bad in a good way like Wolfpack or a Seagal film just plain old shoddy bad. Why was this made into a movie? I've seen a few episodes of the TV series and thought it was alright but I only saw repeats of that because they made this. I spent most of the film trying to work out what the story was and by the end I was none the wiser. I seem to remember at some point a character, maybe Farina's mentions that the Mod Squad can get in to places regular cops can't. The ' place ' turns out to be a ' club ', one of the toughest places to get into, maybe it was student night? I lost track of the plot at this point or maybe there was no plot and the movie was just chopped together from various leftovers from other TV series remakes. Was it an action comedy? I don't remember any laughs. Overall this movie lacked the real scene stealing power of someone like Seymour Hoffman as the bad guy. With him Ribisi would have had somebody to bounce off.","I had the misfortune to watch this last night on the BBC, I expect I may have been the only viewer. From the beginning there was something quite wrong about the movie, after a few minutes of viewing i managed to work out what it was. THE MOVIE WAS BAD! Not bad in a good way like Wolfpack or a Seagal film just plain old shoddy bad. Why was this made into a movie? I've seen a few episodes of the TV series and thought it was alright but I only saw repeats of that because they made this. I spent most of the film trying to work out what the story was and by the end I was none the wiser. I seem to remember at some point a character, maybe Farina's mentions that the Mod Squad can get in to places regular cops can't. The ' place ' turns out to be a ' club ', one of the toughest places to get into, maybe it was student night? I lost track of the plot at this point or maybe there was no plot and the movie was just chopped together from various leftovers from other TV series remakes. Was it an action comedy? I don't remember any laughs. Overall this movie lacked the real scene stealing power of someone like <name> as the bad guy. With <pro-him> Ribisi would have had somebody to bounce off.","I had the misfortune to watch this last night on the BBC, I expect I may have been the only viewer. From the beginning there was something quite wrong about the movie, after a few minutes of viewing i managed to work out what it was. THE MOVIE WAS BAD! Not bad in a good way like Wolfpack or a Seagal film just plain old shoddy bad. Why was this made into a movie? I've seen a few episodes of the TV series and thought it was alright but I only saw repeats of that because they made this. I spent most of the film trying to work out what the story was and by the end I was none the wiser. I seem to remember at some point a character, maybe Farina's mentions that the Mod Squad can get in to places regular cops can't. The ' place ' turns out to be a ' club ', one of the toughest places to get into, maybe it was student night? I lost track of the plot at this point or maybe there was no plot and the movie was just chopped together from various leftovers from other TV series remakes. Was it an action comedy? I don't remember any laughs. Overall this movie lacked the real scene stealing power of someone like Earl as the bad guy. With him Ribisi would have had somebody to bounce off.",,
393,"@tarothealing Thanks so much, Lisa. I am happy for you too! The story that is developing is pretty amazing and so is she!","@tarothealing Thanks so much, <name> . I am happy for you too! The story that is developing is pretty amazing and so is <pro-she> !","@tarothealing Thanks so much, Rebecca . I am happy for you too! The story that is developing is pretty amazing and so is she !",,
394,"This movie takes the plot behind the scifi flick "" Doppelganger "" ( an astronaut from our Earth crashing on a ' counterEarth ' on the opposite side of the Sun, and the Cold War totalitarian vibes on that world) and tries to turn it into a pilot for a TV series. However, the whole thing sank without a trace, and TV is probably better off for it. Everyone here is perfectly adequate in a ' made for TV ' way. Cameron Mitchell turns in his usual solid performance. So does Glenn Corbett ( who seems to be a kind of poor man's John Saxon) who plays the rugged individualist whose very existence poses a threat to the foundation of the ' World Order ' on counter Earth. But the low budget and low energy and inconsistent script and the lack of any real imagination in the set designs and cinematography keep this SciFi adventure firmly tethered on the launch pad. I'll give one example: in the original template for this pilot, ( "" Doppleganger ""), the astronauts lose control of their landing vehicle in a thunderstorm, and crash their ship in a truly appalling sequence ( it was obvious that their ship was never going to fly again). Then the two astronauts stagger helplessly from the smoking remains of their vehicle in the middle of howling rains and winds, only to be smacked down and overcome by faceless men yelling through loudspeakers. In "" Stranded in Space "", the astronauts are sitting in their seats when buzzers sound, things start shaking, and the camera blurs into a blackout ( and as a friend pointed out, it was pretty obvious that the actors were simply shaking themselves on their seats, the director wasn't even shaking the camera or the set). I've seen episodes of "" The Twilight Zone "" and "" The Outer Limits "" that took more effort to establish mood and setting than this madeforTV mediocrity. And that, in essence, is what's wrong with "" Stranded In Space "". No budget, no time, no imagination ... just making the token gestures and hoping the scifi Fan Boys ' imagination and enthusiasm will fill in the rest. Sorry, guys, it didn't work.   I'm sure that everyone here just finished their work on this one and walked away, and never thought of it again, except as a listing on their C.V. And that's what you, the viewer will do. You'll remember, if pressed, that you once watched a TV movie called "" Stranded In Space "", but it made no lasting impression on you, and you can't recall too much about it.","This movie takes the plot behind the scifi flick "" Doppelganger "" ( an astronaut from our Earth crashing on a ' counterEarth ' on the opposite side of the Sun, and the Cold War totalitarian vibes on that world) and tries to turn it into a pilot for a TV series. However, the whole thing sank without a trace, and TV is probably better off for it. Everyone here is perfectly adequate in a ' made for TV ' way. <name> turns in <pro-his> usual solid performance. So does Glenn Corbett ( who seems to be a kind of poor man's John Saxon) who plays the rugged individualist whose very existence poses a threat to the foundation of the ' World Order ' on counter Earth. But the low budget and low energy and inconsistent script and the lack of any real imagination in the set designs and cinematography keep this SciFi adventure firmly tethered on the launch pad. I'll give one example: in the original template for this pilot, ( "" Doppleganger ""), the astronauts lose control of their landing vehicle in a thunderstorm, and crash their ship in a truly appalling sequence ( it was obvious that their ship was never going to fly again). Then the two astronauts stagger helplessly from the smoking remains of their vehicle in the middle of howling rains and winds, only to be smacked down and overcome by faceless men yelling through loudspeakers. In "" Stranded in Space "", the astronauts are sitting in their seats when buzzers sound, things start shaking, and the camera blurs into a blackout ( and as a friend pointed out, it was pretty obvious that the actors were simply shaking themselves on their seats, the director wasn't even shaking the camera or the set). I've seen episodes of "" The Twilight Zone "" and "" The Outer Limits "" that took more effort to establish mood and setting than this madeforTV mediocrity. And that, in essence, is what's wrong with "" Stranded In Space "". No budget, no time, no imagination ... just making the token gestures and hoping the scifi Fan Boys ' imagination and enthusiasm will fill in the rest. Sorry, guys, it didn't work. I'm sure that everyone here just finished their work on this one and walked away, and never thought of it again, except as a listing on their C.V. And that's what you, the viewer will do. You'll remember, if pressed, that you once watched a TV movie called "" Stranded In Space "", but it made no lasting impression on you, and you can't recall too much about it.","This movie takes the plot behind the scifi flick "" Doppelganger "" ( an astronaut from our Earth crashing on a ' counterEarth ' on the opposite side of the Sun, and the Cold War totalitarian vibes on that world) and tries to turn it into a pilot for a TV series. However, the whole thing sank without a trace, and TV is probably better off for it. Everyone here is perfectly adequate in a ' made for TV ' way. Elizabeth turns in her usual solid performance. So does Glenn Corbett ( who seems to be a kind of poor man's John Saxon) who plays the rugged individualist whose very existence poses a threat to the foundation of the ' World Order ' on counter Earth. But the low budget and low energy and inconsistent script and the lack of any real imagination in the set designs and cinematography keep this SciFi adventure firmly tethered on the launch pad. I'll give one example: in the original template for this pilot, ( "" Doppleganger ""), the astronauts lose control of their landing vehicle in a thunderstorm, and crash their ship in a truly appalling sequence ( it was obvious that their ship was never going to fly again). Then the two astronauts stagger helplessly from the smoking remains of their vehicle in the middle of howling rains and winds, only to be smacked down and overcome by faceless men yelling through loudspeakers. In "" Stranded in Space "", the astronauts are sitting in their seats when buzzers sound, things start shaking, and the camera blurs into a blackout ( and as a friend pointed out, it was pretty obvious that the actors were simply shaking themselves on their seats, the director wasn't even shaking the camera or the set). I've seen episodes of "" The Twilight Zone "" and "" The Outer Limits "" that took more effort to establish mood and setting than this madeforTV mediocrity. And that, in essence, is what's wrong with "" Stranded In Space "". No budget, no time, no imagination ... just making the token gestures and hoping the scifi Fan Boys ' imagination and enthusiasm will fill in the rest. Sorry, guys, it didn't work. I'm sure that everyone here just finished their work on this one and walked away, and never thought of it again, except as a listing on their C.V. And that's what you, the viewer will do. You'll remember, if pressed, that you once watched a TV movie called "" Stranded In Space "", but it made no lasting impression on you, and you can't recall too much about it.",,
395,yay my good buddie karl has given me a free ticket to go see the terminator 4 premiere with him tomorrow night,yay my good buddie <name> has given me a free ticket to go see the terminator 4 premiere with <pro-him> tomorrow night,yay my good buddie Duane has given me a free ticket to go see the terminator 4 premiere with him tomorrow night,,
396,how can we say to a 18 years old boy that he is not ok he doesn't have only depression we think someone did smth to him he is totally dif,how can we say to a 18 years old <gaw> that <pro-he> is not ok <pro-he> doesn't have only depression we think someone did smth to <pro-him> <pro-he> is totally dif,how can we say to a 18 years old sister that she is not ok she doesn't have only depression we think someone did smth to her she is totally dif,,
397,"I wish they would just make a special section in the video rental stores for movies like this. The section would read: "" Movies for lonely older men who like to watch young girls being naughty and wearing fetish clothes "" I guess dominique swain, after lolita nd now this, is establishing herself as the queen of the dirty old man genre.","I wish they would just make a special section in the video rental stores for movies like this. The section would read: "" Movies for lonely older men who like to watch young girls being naughty and wearing fetish clothes "" I guess dominique swain, after <name> now this, is establishing <pro-herself> as the queen of the dirty old man genre.","I wish they would just make a special section in the video rental stores for movies like this. The section would read: "" Movies for lonely older men who like to watch young girls being naughty and wearing fetish clothes "" I guess dominique swain, after Todd now this, is establishing himself as the queen of the dirty old man genre.",,
