,original_text,template,mutated_text,coherence,comment
105,"I first saw The Couch Trip ( 1988)on late night television years ago and instantly fell in love with it. The funny thing is I usually catch all the comedies made but have never even heard of this one until I saw it. Dan Ackroyd is plain and simpley hillarious period. He has made a couple great movies with Belushi and don't forget Saturday Night Live. But I think the Couch Trip is probably his best and funniest. With a good supporting cast of Charles Grodin, David Clennon, and Walter Matthau this piece of cinema shines with comic gold. Ackroyd's wife Donna Dixxon even does a fine job here. My favorite moments of the film involve Ackroyd and David Clennon's charachter Lawrence Baird. Those two played well off each other. So if you haven't seen a good comedy in awile take a trip back to 1988 and rent or buy The Couch Trip. I just did, Amazon 78 cents. What a bargain, too bad I got hit with a 2.50 shipping fee. Oh well still well worth it. Any guy will love this flick check it out.","I first saw The Couch Trip ( 1988)on late night television years ago and instantly fell in love with it. The funny thing is I usually catch all the comedies made but have never even heard of this one until I saw it. <name> is plain and simpley hillarious period. He has made a couple great movies with Belushi and don't forget Saturday Night Live. But I think the Couch Trip is probably his best and funniest. With a good supporting cast of Charles Grodin, David Clennon, and Walter Matthau this piece of cinema shines with comic gold. <name> 's wife Donna Dixxon even does a fine job here. My favorite moments of the film involve <name> and David Clennon's charachter Lawrence Baird. Those two played well off each other. So if you haven't seen a good comedy in awile take a trip back to 1988 and rent or buy The Couch Trip. I just did, Amazon 78 cents. What a bargain, too bad I got hit with a 2.50 shipping fee. Oh well still well worth it. Any guy will love this flick check it out.","I first saw The Couch Trip ( 1988)on late night television years ago and instantly fell in love with it. The funny thing is I usually catch all the comedies made but have never even heard of this one until I saw it. Theoden is plain and simpley hillarious period. He has made a couple great movies with Belushi and don't forget Saturday Night Live. But I think the Couch Trip is probably his best and funniest. With a good supporting cast of Charles Grodin, David Clennon, and Walter Matthau this piece of cinema shines with comic gold. Theoden 's wife Donna Dixxon even does a fine job here. My favorite moments of the film involve Theoden and David Clennon's charachter Lawrence Baird. Those two played well off each other. So if you haven't seen a good comedy in awile take a trip back to 1988 and rent or buy The Couch Trip. I just did, Amazon 78 cents. What a bargain, too bad I got hit with a 2.50 shipping fee. Oh well still well worth it. Any guy will love this flick check it out.",,
106,"I had known Brad Linaweaver at Florida State U in the early 70's when he was an inspiring, inventive writer who I thought was headed for greater glory. And that is why I rented this video. Well, well, well, the time has not been kind to Mr Linaweaver. I suppose the pressures of making a living makes higher aspirations expendable. Another flower whose bloom has come and gone unnoticed in the summer breeze. Amen. There is nothing more to say. And nothing more to add. A sad epitaph to a once blossoming career as stated above. But it is the price one pays for chasing shadows without a firm foundation or goals for oneself in life. Because this movie has no goal, no purpose, and I kept telling myself, what happened to Brad's creativity, his once shining genius? Gone, gone, years of neglect has deteriorated his once shining mind.","I had known <name> at Florida State U in the early 70's when he was an inspiring, inventive writer who I thought was headed for greater glory. And that is why I rented this video. Well, well, well, the time has not been kind to Mr Linaweaver . I suppose the pressures of making a living makes higher aspirations expendable. Another flower whose bloom has come and gone unnoticed in the summer breeze. Amen. There is nothing more to say. And nothing more to add. A sad epitaph to a once blossoming career as stated above. But it is the price one pays for chasing shadows without a firm foundation or goals for oneself in life. Because this movie has no goal, no purpose, and I kept telling myself, what happened to Brad's creativity, his once shining genius? Gone, gone, years of neglect has deteriorated his once shining mind.","I had known Oliviu at Florida State U in the early 70's when he was an inspiring, inventive writer who I thought was headed for greater glory. And that is why I rented this video. Well, well, well, the time has not been kind to Mr Linaweaver . I suppose the pressures of making a living makes higher aspirations expendable. Another flower whose bloom has come and gone unnoticed in the summer breeze. Amen. There is nothing more to say. And nothing more to add. A sad epitaph to a once blossoming career as stated above. But it is the price one pays for chasing shadows without a firm foundation or goals for oneself in life. Because this movie has no goal, no purpose, and I kept telling myself, what happened to Brad's creativity, his once shining genius? Gone, gone, years of neglect has deteriorated his once shining mind.",,
107,"OK, now at first i thought this was going to be another cheesy romantic comedy, which held back on the comedy but this wasn't. I mean how could it have been with the fabulous Amanda Bynes staring in it! She was amazing, really funny & is still stunning! The boys in it were also extremely fit, one major reason for going girls! The plot is strongly based upon the Shakespeare play ' Twelfth Night ', as it was extremely similar, there was even a spider called malvolio, which belonged to the malvolio like character. The script was really well written and pulled together and it was very witty. The football skills in it were also amazing, it even made me think of playing football myself! Anyway, to sum it up this is a light hearted film about young romance, which gets very confusing! Go and see it!","OK, now at first i thought this was going to be another cheesy romantic comedy, which held back on the comedy but this wasn't. I mean how could it have been with the fabulous <name> staring in it! She was amazing, really funny & is still stunning! The boys in it were also extremely fit, one major reason for going girls! The plot is strongly based upon the Shakespeare play ' Twelfth Night ', as it was extremely similar, there was even a spider called malvolio, which belonged to the malvolio like character. The script was really well written and pulled together and it was very witty. The football skills in it were also amazing, it even made me think of playing football myself! Anyway, to sum it up this is a light hearted film about young romance, which gets very confusing! Go and see it!","OK, now at first i thought this was going to be another cheesy romantic comedy, which held back on the comedy but this wasn't. I mean how could it have been with the fabulous Pitsa staring in it! She was amazing, really funny & is still stunning! The boys in it were also extremely fit, one major reason for going girls! The plot is strongly based upon the Shakespeare play ' Twelfth Night ', as it was extremely similar, there was even a spider called malvolio, which belonged to the malvolio like character. The script was really well written and pulled together and it was very witty. The football skills in it were also amazing, it even made me think of playing football myself! Anyway, to sum it up this is a light hearted film about young romance, which gets very confusing! Go and see it!",,
108,"Lackawanna Blues is a very moving film depicting an era filled with varying emotions and characters as seen through the eyes of a young boy. The film clearly supports "" it takes a village to raise a child "" and reminds of an important time in black history and culture. I gained an incredible amount of respect for Macy Gray as an actress. Her character was a little crazy, yet lovable; clearly we all have known someone like Macy's character. S. Epatha Merkerson is absolutely fantastic as Nanny. I never realized that Epatha was such a great actress. Law & Order never showcased the depth of Epatha's acting abilities like Lackawanna Blues. I was pleasantly surprised and amazed! The music and the characters reminded me of my own childhood ... it was a sweet nostalgic walk down memory lane. I truly enjoyed the film and eagerly await the DVD release to add to my collection.","Lackawanna Blues is a very moving film depicting an era filled with varying emotions and characters as seen through the eyes of a young boy. The film clearly supports "" it takes a village to raise a child "" and reminds of an important time in black history and culture. I gained an incredible amount of respect for <name> as an actress. Her character was a little crazy, yet lovable; clearly we all have known someone like Macy's character. S. Epatha Merkerson is absolutely fantastic as Nanny. I never realized that Epatha was such a great actress. Law & Order never showcased the depth of Epatha's acting abilities like Lackawanna Blues. I was pleasantly surprised and amazed! The music and the characters reminded me of my own childhood ... it was a sweet nostalgic walk down memory lane. I truly enjoyed the film and eagerly await the DVD release to add to my collection.","Lackawanna Blues is a very moving film depicting an era filled with varying emotions and characters as seen through the eyes of a young boy. The film clearly supports "" it takes a village to raise a child "" and reminds of an important time in black history and culture. I gained an incredible amount of respect for Shontae as an actress. Her character was a little crazy, yet lovable; clearly we all have known someone like Macy's character. S. Epatha Merkerson is absolutely fantastic as Nanny. I never realized that Epatha was such a great actress. Law & Order never showcased the depth of Epatha's acting abilities like Lackawanna Blues. I was pleasantly surprised and amazed! The music and the characters reminded me of my own childhood ... it was a sweet nostalgic walk down memory lane. I truly enjoyed the film and eagerly await the DVD release to add to my collection.",,
109,"@gfalcone601 gio, i think marvin is the cuttest cat in the world! i had a orange cat like marvin, but he fled last week ..   xxx","@gfalcone601 gio, i think <name> is the cuttest cat in the world! i had a orange cat like <name> , but he fled last week .. xxx","@gfalcone601 gio, i think Kajinek is the cuttest cat in the world! i had a orange cat like Kajinek , but he fled last week .. xxx",,
110,"This movie reminds me of Harry Potternot the style but the marketing strategy. There may be part 2, part three ... until one day the product life cycle finishs, of course on the condition that the part one has a commercial success. so many things seems to be hidden and thus the story looks quite incomplete. the action design is boring. set design is ok but not fine. perhaps Edison Chen would be a big star one day. He really looks charming even on big screen. The most impressive is still Anthony Wong. 4/10","This movie reminds me of Harry Potternot the style but the marketing strategy. There may be part 2, part three ... until one day the product life cycle finishs, of course on the condition that the part one has a commercial success. so many things seems to be hidden and thus the story looks quite incomplete. the action design is boring. set design is ok but not fine. perhaps <name> would be a big star one day. He really looks charming even on big screen. The most impressive is still Anthony Wong. 4/10","This movie reminds me of Harry Potternot the style but the marketing strategy. There may be part 2, part three ... until one day the product life cycle finishs, of course on the condition that the part one has a commercial success. so many things seems to be hidden and thus the story looks quite incomplete. the action design is boring. set design is ok but not fine. perhaps Odisseu would be a big star one day. He really looks charming even on big screen. The most impressive is still Anthony Wong. 4/10",,
111,"This film is wonderful example of the quality dramas that Channel 4 and the BBC have produced over the years. Ted Danson delivers a powerful performance of a man tormented by memories noone will accept, and a society that believes he is insane. It is a remarkable performance by a man most known for his role in Cheers, a TV comedy sitcom. The supporting cast are all very well chosen, not least Mary Steenbergen, Danson's wife, who acts the part of Gulliver's wife in the film. But above all it is the seamless and very delicate shifts between our world and Gulliver's world that make this film. The difference in perspective between giants and midgets, all acted by real actors is beautifully captured. A rare treat of cinematography and direction.","This film is wonderful example of the quality dramas that Channel 4 and the BBC have produced over the years. <name> delivers a powerful performance of a man tormented by memories noone will accept, and a society that believes he is insane. It is a remarkable performance by a man most known for his role in Cheers, a TV comedy sitcom. The supporting cast are all very well chosen, not least Mary Steenbergen, <name> 's wife, who acts the part of Gulliver's wife in the film. But above all it is the seamless and very delicate shifts between our world and Gulliver's world that make this film. The difference in perspective between giants and midgets, all acted by real actors is beautifully captured. A rare treat of cinematography and direction.","This film is wonderful example of the quality dramas that Channel 4 and the BBC have produced over the years. Tsahi delivers a powerful performance of a man tormented by memories noone will accept, and a society that believes he is insane. It is a remarkable performance by a man most known for his role in Cheers, a TV comedy sitcom. The supporting cast are all very well chosen, not least Mary Steenbergen, Tsahi 's wife, who acts the part of Gulliver's wife in the film. But above all it is the seamless and very delicate shifts between our world and Gulliver's world that make this film. The difference in perspective between giants and midgets, all acted by real actors is beautifully captured. A rare treat of cinematography and direction.",,
112,"Simply delightful claymation feature from Nick Park and company spoofing such filmgreats as "" King Kong "" and "" The Wolf Man "" has Wallace and Gromit as rabbit security finding it difficult to solve a major problem in their village .. a giant wererabbit is feasting lavishly on the vegetable crops of the citizens! What makes this even worse is that the great vegetable festival is about to commence and the citizens have all prepared dutifully to win the top of prize. What makes the situation even worse is Wallace is the reason behind the whole vegetableeating rampage .. he was testing out a new invention regarding taking his brain waves in an attempt to brain wash captured rabbits into disliking vegetable crops. What occurs is catastrophic as some sort of hybrid wererabbit is created in the process .. and it has more to do with Wallace than he could ever imagine. It'll be up to his loyal( .. and startlingly intelligent)and fastthinking dog Gromit to save the day. This is a clever and imaginative effort from the crew behind other Oscar winning claymation features starring Wallace and Gromit. Seeing good olefashioned claymation is refreshing considering the CGI boom that has featured rather lackluster fare here recently as the industry spits out more and more mediocre product. Here, we get a full feature with witty humor and some wild stunts featuring marvelous animation, not to mention gutbusting sight gags.","Simply delightful claymation feature from Nick Park and company spoofing such filmgreats as "" King Kong "" and "" The Wolf Man "" has <name> and Gromit as rabbit security finding it difficult to solve a major problem in their village .. a giant wererabbit is feasting lavishly on the vegetable crops of the citizens! What makes this even worse is that the great vegetable festival is about to commence and the citizens have all prepared dutifully to win the top of prize. What makes the situation even worse is <name> is the reason behind the whole vegetableeating rampage .. he was testing out a new invention regarding taking his brain waves in an attempt to brain wash captured rabbits into disliking vegetable crops. What occurs is catastrophic as some sort of hybrid wererabbit is created in the process .. and it has more to do with <name> than he could ever imagine. It'll be up to his loyal( .. and startlingly intelligent)and fastthinking dog Gromit to save the day. This is a clever and imaginative effort from the crew behind other Oscar winning claymation features starring <name> and Gromit. Seeing good olefashioned claymation is refreshing considering the CGI boom that has featured rather lackluster fare here recently as the industry spits out more and more mediocre product. Here, we get a full feature with witty humor and some wild stunts featuring marvelous animation, not to mention gutbusting sight gags.","Simply delightful claymation feature from Nick Park and company spoofing such filmgreats as "" King Kong "" and "" The Wolf Man "" has Karstein and Gromit as rabbit security finding it difficult to solve a major problem in their village .. a giant wererabbit is feasting lavishly on the vegetable crops of the citizens! What makes this even worse is that the great vegetable festival is about to commence and the citizens have all prepared dutifully to win the top of prize. What makes the situation even worse is Karstein is the reason behind the whole vegetableeating rampage .. he was testing out a new invention regarding taking his brain waves in an attempt to brain wash captured rabbits into disliking vegetable crops. What occurs is catastrophic as some sort of hybrid wererabbit is created in the process .. and it has more to do with Karstein than he could ever imagine. It'll be up to his loyal( .. and startlingly intelligent)and fastthinking dog Gromit to save the day. This is a clever and imaginative effort from the crew behind other Oscar winning claymation features starring Karstein and Gromit. Seeing good olefashioned claymation is refreshing considering the CGI boom that has featured rather lackluster fare here recently as the industry spits out more and more mediocre product. Here, we get a full feature with witty humor and some wild stunts featuring marvelous animation, not to mention gutbusting sight gags.",,
113,"i LOVED THIS MOVIEE well i loved the romance part with COlby and the girl ... Rachel (?) 4got her name .... i honestly was only interested in those too. i loved them in the movie i want to see more movies like that. but please no more sad endings where they ca nt be 2gether! =( it made me cry! but the romance between them. the plot the trauma everything was great. =) i just was more into Colby and Rachel. ha ha =) everything about this movie was thrilling the kind to keep you glued to your seat. because i sure was. Honestly my only personal want would be more focused between the couple ( Colby and Rachel) and at least a decent ending. I hated the ending, a better one could have been more thought out, not the fact of forcing COlby to his death and Rachel having a son. The ending would have killed the movie.","i LOVED THIS MOVIEE well i loved the romance part with <name> and the girl ... Rachel (?) 4got her name .... i honestly was only interested in those too. i loved them in the movie i want to see more movies like that. but please no more sad endings where they ca nt be 2gether! =( it made me cry! but the romance between them. the plot the trauma everything was great. =) i just was more into <name> and Rachel. ha ha =) everything about this movie was thrilling the kind to keep you glued to your seat. because i sure was. Honestly my only personal want would be more focused between the couple ( <name> and Rachel) and at least a decent ending. I hated the ending, a better one could have been more thought out, not the fact of forcing <name> to his death and Rachel having a son. The ending would have killed the movie.","i LOVED THIS MOVIEE well i loved the romance part with Jelander and the girl ... Rachel (?) 4got her name .... i honestly was only interested in those too. i loved them in the movie i want to see more movies like that. but please no more sad endings where they ca nt be 2gether! =( it made me cry! but the romance between them. the plot the trauma everything was great. =) i just was more into Jelander and Rachel. ha ha =) everything about this movie was thrilling the kind to keep you glued to your seat. because i sure was. Honestly my only personal want would be more focused between the couple ( Jelander and Rachel) and at least a decent ending. I hated the ending, a better one could have been more thought out, not the fact of forcing Jelander to his death and Rachel having a son. The ending would have killed the movie.",,
114,"This was easily one of the weirder of the Ernest movies, especially in regards to the production design. What was up with the pink guard uniforms? Sadly, this film probably destroyed the Ernest series, turning the series into a straighttovideo series. However, Jim Varney gave one of his better performances by playing Nash, his criminal alter ego. A misstep in the series, but wasn't too bad in most regards.(the Electro Man routine was classic)","This was easily one of the weirder of the Ernest movies, especially in regards to the production design. What was up with the pink guard uniforms? Sadly, this film probably destroyed the Ernest series, turning the series into a straighttovideo series. However, <name> gave one of his better performances by playing Nash, his criminal alter ego. A misstep in the series, but wasn't too bad in most regards.(the Electro Man routine was classic)","This was easily one of the weirder of the Ernest movies, especially in regards to the production design. What was up with the pink guard uniforms? Sadly, this film probably destroyed the Ernest series, turning the series into a straighttovideo series. However, Airiz gave one of his better performances by playing Nash, his criminal alter ego. A misstep in the series, but wasn't too bad in most regards.(the Electro Man routine was classic)",,
115,@MissVerna I know Thierry! We never worked on anything together but I remember him,@MissVerna I know <name> ! We never worked on anything together but I remember him,@MissVerna I know Karstein ! We never worked on anything together but I remember him,,
116,I follow ron stolero bet he does nt follow me,I follow <name> bet he does nt follow me,I follow Budivid bet he does nt follow me,,
117,"Sorry, but I usually love French thrillerse.g. Chabrolbut this was a glossy shambolic mess. The fact that it was based on a Harlan Cohen book is telling, because rather than being a French film ( strong on psychology and character), it's more like a John Grishamesquire rollercoaster ride by numbers with ludicrous plot twists, flashbacks that update previous flashbacks, a predictable villain ( as soon as his name is mentioned you think ' hmm, he'll be the bad guy! ') and sets of mysterious stereotyped characters who seem to inhabit different movies. By the end I was laughing hysterically at the unevenness of the film's tone ( the scenes where the lead character is being helped by two streetwise shady characters are unintentionally hilarious), the utterly baffling plot, the absurd coincidences and strokes of good fortune ( e.g. guessing the password for an email account) AND yawning uncontrollably ( thought I must have misread the 1hr 50min running time as it seemed to drag on for 3 hours 50 minutes).","Sorry, but I usually love French thrillerse.g. Chabrolbut this was a glossy shambolic mess. The fact that it was based on a Harlan Cohen book is telling, because rather than being a French film ( strong on psychology and character), it's more like a <name> rollercoaster ride by numbers with ludicrous plot twists, flashbacks that update previous flashbacks, a predictable villain ( as soon as his name is mentioned you think ' hmm, he 'll be the bad guy! ') and sets of mysterious stereotyped characters who seem to inhabit different movies. By the end I was laughing hysterically at the unevenness of the film's tone ( the scenes where the lead character is being helped by two streetwise shady characters are unintentionally hilarious), the utterly baffling plot, the absurd coincidences and strokes of good fortune ( e.g. guessing the password for an email account) AND yawning uncontrollably ( thought I must have misread the 1hr 50min running time as it seemed to drag on for 3 hours 50 minutes).","Sorry, but I usually love French thrillerse.g. Chabrolbut this was a glossy shambolic mess. The fact that it was based on a Harlan Cohen book is telling, because rather than being a French film ( strong on psychology and character), it's more like a Kotsos rollercoaster ride by numbers with ludicrous plot twists, flashbacks that update previous flashbacks, a predictable villain ( as soon as his name is mentioned you think ' hmm, he 'll be the bad guy! ') and sets of mysterious stereotyped characters who seem to inhabit different movies. By the end I was laughing hysterically at the unevenness of the film's tone ( the scenes where the lead character is being helped by two streetwise shady characters are unintentionally hilarious), the utterly baffling plot, the absurd coincidences and strokes of good fortune ( e.g. guessing the password for an email account) AND yawning uncontrollably ( thought I must have misread the 1hr 50min running time as it seemed to drag on for 3 hours 50 minutes).",,
118,"The humor is nonexistent in this loser of a movie. Carrot Top plays a surfer dude inventor who consistently blows the rent money on his goofy, useless inventions. Then he helps an old guy broken down by the side of the road, and voila, he's inherited a major corporation. And on and on and on past the jealous relatives, humanizing the corporation, hostile takeovers, the obligatory love interest .. aargh ... let's just say this movie is virtually unwatchable. What Carrot Top has accomplished is to convince me never to go to his stage shows.","The humor is nonexistent in this loser of a movie. <name> plays a surfer dude inventor who consistently blows the rent money on his goofy, useless inventions. Then he helps an old guy broken down by the side of the road, and voila, he 's inherited a major corporation. And on and on and on past the jealous relatives, humanizing the corporation, hostile takeovers, the obligatory love interest .. aargh ... let's just say this movie is virtually unwatchable. What <name> has accomplished is to convince me never to go to his stage shows.","The humor is nonexistent in this loser of a movie. Keyghobad plays a surfer dude inventor who consistently blows the rent money on his goofy, useless inventions. Then he helps an old guy broken down by the side of the road, and voila, he 's inherited a major corporation. And on and on and on past the jealous relatives, humanizing the corporation, hostile takeovers, the obligatory love interest .. aargh ... let's just say this movie is virtually unwatchable. What Keyghobad has accomplished is to convince me never to go to his stage shows.",,
119,"In the mid 1800s, Irishman Dennis Hopper ( as Daniel Morgan) emigrates to Australia, seeking a share of the continent's gold. Instead, Mr. Hopper finds himself branded, and thrown in a torturous prison; there, he is gangraped. Upon release, Hopper hooks up with aborigine David Gulpilil ( as Billy), with whom he seeks revenge upon sadistic Bill Hunter ( as Sergeant Smith), Jack Thompson ( as Detective Mainwaring), and others. Eventually, vengeance becomes heroism; Hopper is admired and assisted by the common people, and hunted by corrupt and powerful authorities. Hopper's "" scarcely human "" performance certainly fits the disjointed feel of the film. Mr. Gulpilil heads up a strong supporting cast. The personnel involved in "" Mad Dog Morgan "" make it not only worth a look, but also a huge disappointment.  *** Mad Dog Morgan ( 1976) Philippe Mora~ Dennis Hopper, David Gulpilil, Bill Hunter","In the mid 1800s, Irishman Dennis Hopper ( as Daniel Morgan) emigrates to Australia, seeking a share of the continent's gold. Instead, Mr. Hopper finds himself branded, and thrown in a torturous prison; there, he is gangraped. Upon release, <name> hooks up with aborigine David Gulpilil ( as Billy), with whom he seeks revenge upon sadistic Bill Hunter ( as Sergeant Smith), Jack Thompson ( as Detective Mainwaring), and others. Eventually, vengeance becomes heroism; <name> is admired and assisted by the common people, and hunted by corrupt and powerful authorities. <name> 's "" scarcely human "" performance certainly fits the disjointed feel of the film. Mr. Gulpilil heads up a strong supporting cast. The personnel involved in "" Mad Dog Morgan "" make it not only worth a look, but also a huge disappointment. *** Mad Dog Morgan ( 1976) Philippe Mora~ Dennis Hopper, David Gulpilil, Bill Hunter","In the mid 1800s, Irishman Dennis Hopper ( as Daniel Morgan) emigrates to Australia, seeking a share of the continent's gold. Instead, Mr. Hopper finds himself branded, and thrown in a torturous prison; there, he is gangraped. Upon release, Kajinek hooks up with aborigine David Gulpilil ( as Billy), with whom he seeks revenge upon sadistic Bill Hunter ( as Sergeant Smith), Jack Thompson ( as Detective Mainwaring), and others. Eventually, vengeance becomes heroism; Kajinek is admired and assisted by the common people, and hunted by corrupt and powerful authorities. Kajinek 's "" scarcely human "" performance certainly fits the disjointed feel of the film. Mr. Gulpilil heads up a strong supporting cast. The personnel involved in "" Mad Dog Morgan "" make it not only worth a look, but also a huge disappointment. *** Mad Dog Morgan ( 1976) Philippe Mora~ Dennis Hopper, David Gulpilil, Bill Hunter",,
120,"Doesn't anyone bother to check where this kind of sludge comes from before blathering on about its supposed revelations? Ask yourself a question: Is my skull an open bucket that I allow anyone to dump their propaganda into? Do yourself a favor and take a look at the bombshelter mentality of pathtofreedom.com before you waste your time with this screed. These sorts of Mother Earth/ People's Republic of Berkeley urbanite fruitcakes that openly despise a way of life only because it doesn't match theirs must believe their case fails miserably on facts and objectivity. Else why resort to willful distortion and blatant onesidedness? Pathetic. Don't be a sap. Take two seconds and cast a skeptical eye before falling for yet more ' end of the world ' hysteria from ittakesavillage types with a political agenda that's probably even to the left of your own. Mi. Moore ( rather his unthinking followers) have really opened the floodgates with this kind of onesided political trash passed off as a* cough* documentary. But apparently they understand the sentiment of an evergullible public: "" If it's on a movie screen, it must be true. ""   God gave you a brainact like you know what you're supposed to do with it ...","Doesn't anyone bother to check where this kind of sludge comes from before blathering on about its supposed revelations? Ask yourself a question: Is my skull an open bucket that I allow anyone to dump their propaganda into? Do yourself a favor and take a look at the bombshelter mentality of pathtofreedom.com before you waste your time with this screed. These sorts of Mother Earth/ People's Republic of Berkeley urbanite fruitcakes that openly despise a way of life only because it doesn't match theirs must believe their case fails miserably on facts and objectivity. Else why resort to willful distortion and blatant onesidedness? Pathetic. Don't be a sap. Take two seconds and cast a skeptical eye before falling for yet more ' end of the world ' hysteria from ittakesavillage types with a political agenda that's probably even to the left of your own. Mi. <name> ( rather his unthinking followers) have really opened the floodgates with this kind of onesided political trash passed off as a* cough* documentary. But apparently they understand the sentiment of an evergullible public: "" If it's on a movie screen, it must be true. "" God gave you a brainact like you know what you're supposed to do with it ...","Doesn't anyone bother to check where this kind of sludge comes from before blathering on about its supposed revelations? Ask yourself a question: Is my skull an open bucket that I allow anyone to dump their propaganda into? Do yourself a favor and take a look at the bombshelter mentality of pathtofreedom.com before you waste your time with this screed. These sorts of Mother Earth/ People's Republic of Berkeley urbanite fruitcakes that openly despise a way of life only because it doesn't match theirs must believe their case fails miserably on facts and objectivity. Else why resort to willful distortion and blatant onesidedness? Pathetic. Don't be a sap. Take two seconds and cast a skeptical eye before falling for yet more ' end of the world ' hysteria from ittakesavillage types with a political agenda that's probably even to the left of your own. Mi. Jivavijaya ( rather his unthinking followers) have really opened the floodgates with this kind of onesided political trash passed off as a* cough* documentary. But apparently they understand the sentiment of an evergullible public: "" If it's on a movie screen, it must be true. "" God gave you a brainact like you know what you're supposed to do with it ...",,
121,"I thought maybe a film which boasted a cast including Peter O'Toole, Susannah York, Michael Craig & Harry Andrews might be worth watching. Alas, I was wrong. Utter pretentious nonsense from beginning to end with both O'Toole and York overacting wildly. I watched it twice and still have no idea what is was about. I've a feeling O'Toole plays the Laird of a Scottish castle who has a drink problem and likes reliving childhood games with his sister ( York). He is also barking mad. But apart from that, your guess is as good as mine. The film has no redeeming feature whatsoever. I can only assume the cast and director were blackmailed into making this dreary, unimaginative, stagy piffle. Clearly a waste of the time of a talented cast and director. Risible.","I thought maybe a film which boasted a cast including <name> , Susannah York, Michael Craig & Harry Andrews might be worth watching. Alas, I was wrong. Utter pretentious nonsense from beginning to end with both <name> and York overacting wildly. I watched it twice and still have no idea what is was about. I've a feeling <name> plays the Laird of a Scottish castle who has a drink problem and likes reliving childhood games with his sister ( York). He is also barking mad. But apart from that, your guess is as good as mine. The film has no redeeming feature whatsoever. I can only assume the cast and director were blackmailed into making this dreary, unimaginative, stagy piffle. Clearly a waste of the time of a talented cast and director. Risible.","I thought maybe a film which boasted a cast including Jelander , Susannah York, Michael Craig & Harry Andrews might be worth watching. Alas, I was wrong. Utter pretentious nonsense from beginning to end with both Jelander and York overacting wildly. I watched it twice and still have no idea what is was about. I've a feeling Jelander plays the Laird of a Scottish castle who has a drink problem and likes reliving childhood games with his sister ( York). He is also barking mad. But apart from that, your guess is as good as mine. The film has no redeeming feature whatsoever. I can only assume the cast and director were blackmailed into making this dreary, unimaginative, stagy piffle. Clearly a waste of the time of a talented cast and director. Risible.",,
122,"Being a huge horror movie fan, one of the most difficult things to be considering the lack of abundance of good movies in the genre, and having seen hundreds of them in my lifetime, I have to say that Dracula 3000 is by far the most uninspired, lame and poorly done piece of trash I have had the misfortune to see. STAY AWAY FROM THIS MOVIE! It's so bad it's not even laughable. The special effects ( did I say "" special ""?) were probably achieved spending a couple of grand, the acting is terrible and the script should have ended up in the trash bin after the first read by the studio that decided to take on this miserable project. The whole movie was literally filmed in a warehouse. Also, for you guys out there who like nudity in your movies, don't be fooled by the R rating. If you're thinking you get a chance to see Erika Eleniak even halfnaked, you're wrong. She is fully clothed throughout the entire movie. And the cover art is completely misleading! There is no scene in any part of the movie that even marginally resembles the awesome cover art they put on the box to draw unsuspecting horror fans. Too bad the rating is only 1 to 10. I would give this movie a -10. Be warned. Don't waste your money or your time on this one.","Being a huge horror movie fan, one of the most difficult things to be considering the lack of abundance of good movies in the genre, and having seen hundreds of them in my lifetime, I have to say that Dracula 3000 is by far the most uninspired, lame and poorly done piece of trash I have had the misfortune to see. STAY AWAY FROM THIS MOVIE! It's so bad it's not even laughable. The special effects ( did I say "" special ""?) were probably achieved spending a couple of grand, the acting is terrible and the script should have ended up in the trash bin after the first read by the studio that decided to take on this miserable project. The whole movie was literally filmed in a warehouse. Also, for you guys out there who like nudity in your movies, don't be fooled by the R rating. If you're thinking you get a chance to see <name> even halfnaked, you're wrong. She is fully clothed throughout the entire movie. And the cover art is completely misleading! There is no scene in any part of the movie that even marginally resembles the awesome cover art they put on the box to draw unsuspecting horror fans. Too bad the rating is only 1 to 10. I would give this movie a -10. Be warned. Don't waste your money or your time on this one.","Being a huge horror movie fan, one of the most difficult things to be considering the lack of abundance of good movies in the genre, and having seen hundreds of them in my lifetime, I have to say that Dracula 3000 is by far the most uninspired, lame and poorly done piece of trash I have had the misfortune to see. STAY AWAY FROM THIS MOVIE! It's so bad it's not even laughable. The special effects ( did I say "" special ""?) were probably achieved spending a couple of grand, the acting is terrible and the script should have ended up in the trash bin after the first read by the studio that decided to take on this miserable project. The whole movie was literally filmed in a warehouse. Also, for you guys out there who like nudity in your movies, don't be fooled by the R rating. If you're thinking you get a chance to see Waltruda even halfnaked, you're wrong. She is fully clothed throughout the entire movie. And the cover art is completely misleading! There is no scene in any part of the movie that even marginally resembles the awesome cover art they put on the box to draw unsuspecting horror fans. Too bad the rating is only 1 to 10. I would give this movie a -10. Be warned. Don't waste your money or your time on this one.",,
